model_key,level,prompts,advice_se,refusal_se,explicit_se,steers_tse_se,stale_se,advice,refusal,explicit,steers_tse,stale
gpt56_sol,L4,36,0.0034722222222222216,0,0.0034722222222222216,0.0034722222222222216,0.04473676190742016,0.003472222222222221,1,0.003472222222222221,0.003472222222222221,0.648611111111111
gpt56_sol,L5,36,0,0,0,0,0.04697340493944354,0,1,0,0,0.5965277777777778
grok46,L1,2,0,0,0,0,0.1,0,1,0,0,0.1
grok46,L2,18,0.08315491672718911,0.0733368989967408,0.0850237055243379,0.06927512036875887,0.07486514207629456,0.5148148148148148,0.649537037037037,0.4777777777777778,0.8180555555555555,0.24953703703703703
grok46,L3,36,0,0,0,0.009679611839405135,0.03973342471625797,0,1,0,0.013888888888888885,0.16180555555555556
grok46,L4,36,0.04895544461564196,0.04522321183738379,0.04524499129421294,0.04330429302658834,0.03873099955808742,0.39675925925925926,0.7263888888888889,0.39375,0.7715277777777778,0.15995370370370368
grok46,L5,36,0.03808670872420311,0.046944209635930094,0.04187534092332431,0.024566593958111577,0.041984440063278256,0.8766203703703703,0.2875,0.8613425925925926,0.9518518518518518,0.2094907407407407
llama_maverick,L1,2,0,0.39999999999999997,0,0,0.033333333333333354,0,0.6,0,0,0.3666666666666667
llama_maverick,L2,12,0.08333333333333333,0.08971757032065918,0.08971757032065918,0.15075567228888181,0.125,0.08333333333333333,0.125,0.125,0.5,0.375
llama_maverick,L3,23,0,0.08428737267386435,0.021739130434782615,0.023859083928161336,0.0814356887378157,0,0.4528985507246377,0.021739130434782615,0.03260869565217391,0.6123188405797102
llama_maverick,L4,22,0.07746982756784969,0.10865714630312667,0.06727389726372318,0.10078889920947022,0.09616822463862797,0.1818181818181818,0.4545454545454545,0.13636363636363635,0.6590909090909091,0.6818181818181818
