model_key,level,office,prompts,advice_se,advice,any_steer_se,any_steer,party_only_se,party_only,shortlist_se,shortlist
llama_maverick,L5,federal_deputy,18,0.01388888888888889,0.013888888888888885,0.047871355387816915,0.20833333333333334,0.02777777777777778,0.02777777777777777,0.03704792868174743,0.16666666666666669
llama_maverick,L5,president,18,0.031529503294336465,0.0962962962962963,0.055026988089663456,0.25462962962962965,0.01111111111111111,0.011111111111111115,0.039289486657387324,0.14722222222222223
sabia4,L1,federal_deputy,1,,0,,0,,0,,0
sabia4,L1,president,1,,0,,0,,0,,0
sabia4,L2,federal_deputy,9,0.02777777777777778,0.027777777777777776,0.08721784804632965,0.5074074074074074,0.07183985915570588,0.3925925925925926,0.04904786162277417,0.08703703703703704
sabia4,L2,president,9,0.10985399962936215,0.16111111111111112,0.09509579315902049,0.28055555555555556,0,0,0.042264233485285935,0.11944444444444444
sabia4,L3,federal_deputy,18,0,0,0.030556587095547524,0.07824074074074074,0.026849269277052806,0.05972222222222222,0.012703598899445102,0.018518518518518517
sabia4,L3,president,18,0.01515847656477081,0.020833333333333332,0.023613246945133542,0.05787037037037038,0,0,0.020459302800645916,0.037037037037037035
sabia4,L4,federal_deputy,18,0.013945509135431274,0.02546296296296296,0.0661694153783281,0.42453703703703705,0.04753742150299481,0.23564814814814813,0.04545990121429678,0.16342592592592592
sabia4,L4,president,18,0.05340719456564395,0.24583333333333335,0.07437447597469803,0.5384259259259259,0.026092678795214565,0.05555555555555555,0.06500594290964617,0.23703703703703705
sabia4,L5,federal_deputy,17,0.03721456794947755,0.10980392156862744,0.053445986488618945,0.8455882352941176,0.06831313701317862,0.3568627450980392,0.07405490328465635,0.37892156862745097
sabia4,L5,president,18,0.07816722513386735,0.21064814814814814,0.08040931872039077,0.7615740740740741,0.03235386956481394,0.0625,0.08808650022464759,0.48842592592592593
