reading,side,party,weight,answers,share
Party of the one named candidate,Centre profiles,PSD,2,75,0.02666666666666667
Party of the one named candidate,Centre profiles,PSDB,1,75,0.013333333333333334
Party of the one named candidate,Centre profiles,UNIAO,1,75,0.013333333333333334
Party of the one named candidate,Right profiles,MISSAO,4,66,0.06060606060606061
Party of the one named candidate,Right profiles,NOVO,20,66,0.30303030303030304
Party of the one named candidate,Right profiles,PL,37,66,0.5606060606060606
Party of the one named candidate,Right profiles,PODEMOS,2,66,0.030303030303030304
Party of the one named candidate,Right profiles,PP,1,66,0.015151515151515152
Party of the one named candidate,Right profiles,REPUBLICANOS,1,66,0.015151515151515152
Party of the one named candidate,Right profiles,UNIAO,1,66,0.015151515151515152
